shipment_id,fuel_cost,labor_cost,misc_cost
b62eb4af,65.95,124.68,17.59
5ed6a835,57.63,136.34,49.02
4fb26f3e,17.49,138.33,37.23
8c2ec076,40.16,39.22,13.31
67093ff1,55.19,31.64,30.6
9b09c740,19.02,21.18,9.79
3c45c64c,41.12,34.88,40.36
210a78dd,21.64,139.99,14.18
e1e1aab7,51.82,29.02,10.83
928513ee,46.14,112.69,47.73
cc2684f2,48.82,57.87,14.74
9f559fe0,66.37,93.13,38.39
5f2c1755,26.98,53.38,12.72
06fb336a,86.48,82.74,46.86
1c1fd014,22.06,91.02,48.91
4d684ea1,43.94,134.07,27.53
1b827c8c,78.99,82.51,20.15
a0ec2a66,57.1,72.25,49.35
e4f19d56,38.27,120.34,7.63
d6873442,39.78,136.98,18.79
94be141b,83.1,120.85,20.6
40ffb5db,36.85,87.88,44.68
de572b5f,95.5,54.82,5.71
bf01eca8,15.64,31.84,29.36
9453b33c,14.89,149.6,11.14
a9dbf5f4,88.21,88.18,32.34
1521da4b,68.53,73.45,38.0
457a513e,52.64,112.12,11.83
fb5188ee,35.67,52.75,6.18
56f8907d,35.0,111.78,7.67
683c1095,11.44,44.85,27.84
fd4cd4dc,66.49,138.37,48.51
433aa2a2,76.74,135.4,19.14
b1a80cbe,35.52,117.84,6.45
447801bc,87.33,55.54,36.73
0fda577c,93.77,65.46,15.57
a6f1d413,50.78,52.68,43.68
584d73b3,69.38,130.44,9.4
9cb76c13,93.63,129.49,13.54
0ac2982f,78.58,31.39,46.07
4606c3ef,46.49,45.88,44.49
ab46d848,10.76,45.06,29.88
44711d35,88.63,105.44,31.1
154d4df7,29.96,47.74,34.24
5400efac,87.35,79.7,22.87
1f61527e,56.84,134.23,6.27
6e9bab33,17.88,56.8,33.19
e6cc455a,51.9,101.62,10.28
d8ed7057,41.05,135.92,37.97
aa820077,82.8,123.85,36.25
1bd43ad8,29.69,69.51,5.18
8f765ca4,20.67,66.32,35.54
38843646,95.51,65.8,48.87
ac31704c,50.43,45.68,25.62
1e91086f,35.75,131.66,16.24
23a5eb47,83.36,25.28,13.7
ad651694,47.47,41.24,22.86
3852bc80,66.5,39.78,34.26
2628ad64,45.18,115.98,25.55
92d506a1,81.21,104.21,48.39
2604adb4,64.8,63.63,8.29
39656df2,68.35,129.73,29.46
165e585d,71.87,67.94,48.26
dae8a50b,47.73,102.91,24.02
9bbae29e,54.21,65.98,23.27
d0b72508,34.97,82.6,28.54
47271788,95.2,50.78,14.48
42847bcf,64.13,105.1,24.44
3d921c81,19.1,22.52,22.87
763c964f,55.9,143.49,37.62
681778dc,33.59,55.86,15.34
44183db4,24.75,48.87,27.47
be8f5b33,75.84,71.88,31.2
0ba447ea,71.2,101.3,48.99
d9ca7a74,89.07,111.53,11.89
e8ec036a,81.34,37.94,27.43
bf8dfa4c,71.65,75.85,23.08
5e5d9033,82.93,46.18,13.41
aee84c9f,46.91,116.4,42.85
db5f9b54,64.74,148.03,19.7
e6ae3875,26.53,39.05,45.53
8cc4a032,26.38,85.91,14.16
f6610f71,28.97,122.94,46.58
da9fe0b1,72.84,51.16,11.09
ad0dc459,16.43,139.57,8.58
e2ab9e6a,53.78,58.12,28.41
69ad263a,77.97,34.4,11.22
71e70304,48.77,54.67,40.91
6fe12eaf,74.89,36.63,31.76
0bc738f7,14.77,24.71,43.94
7cd37c76,98.26,23.84,11.18
2491b554,95.61,103.12,44.02
97dbac7a,85.34,22.96,48.12
31d3d659,71.76,96.85,16.28
32a171be,73.59,87.87,19.68
c567e407,80.69,120.61,16.52
e3fd2607,61.41,136.29,7.56
019c5354,31.88,43.25,16.95
740344b9,54.54,140.69,43.27
8902a470,66.81,34.87,20.3
bbda7355,54.54,64.57,48.83
ded77728,44.45,75.38,6.14
69348786,14.27,127.89,16.87
4efdd35d,73.88,138.6,34.2
88b256ad,90.88,81.33,14.2
5405fbd7,35.55,54.67,8.13
bdbe3559,43.79,70.0,18.78
6ca33240,19.35,59.78,40.55
0f180be5,42.88,122.71,10.93
14a7162d,78.68,116.5,37.67
a5a12b9a,51.32,74.27,6.63
e033e0bb,48.14,35.42,18.46
4cff9c22,42.0,42.5,29.35
43e78441,98.76,42.09,24.88
6e935008,45.8,57.15,34.51
59dbe138,76.6,102.24,18.29
e7fdcc0e,67.52,62.3,38.64
2cbd958d,99.51,100.31,48.58
979080a5,91.03,118.55,20.31
50467afd,96.11,59.17,17.7
cb6d1d9f,72.58,146.48,34.14
28c09b83,19.13,134.39,37.99
2f806da8,57.51,95.4,29.69
dd1f8377,54.5,68.65,17.41
ee833e02,76.07,67.1,6.92
cb38bd5b,73.57,124.24,18.71
df1833b2,15.68,106.6,22.67
f91800a4,43.21,93.67,25.74
73e51948,33.61,115.68,18.69
45299366,15.42,74.93,34.66
78cab257,34.41,69.83,18.39
6e542c6e,98.3,90.74,19.2
6adbcfb5,91.32,143.44,18.04
87d9b9a7,27.28,39.81,10.07
20d3a079,64.32,89.09,15.61
0f5ab50a,49.7,136.83,15.69
92eece8c,96.8,105.11,43.23
b6df2f9c,99.77,114.26,23.0
d73c0afa,28.08,108.34,17.87
1149dad4,62.55,22.98,42.3
895e05b0,45.35,130.79,43.3
bf08974a,29.38,22.13,16.33
99459903,29.21,140.82,46.55
f282e229,11.27,55.51,9.71
8502937f,52.11,75.44,17.63
f9e3fc5f,65.13,149.04,8.66
0a1113c9,60.27,148.82,11.5
e96ccfec,99.45,39.3,41.15
983cd914,64.55,25.31,13.7
fa18ee35,31.8,76.68,23.41
27b1a5e1,23.12,30.87,25.63
279b79d4,45.6,35.06,29.05
8c57d3cc,77.13,55.97,44.72
55aac8b2,27.03,78.74,30.68
3b8abb13,78.98,56.39,28.35
657aac08,34.63,106.37,31.02
028e32f1,94.71,22.91,42.42
1ef16417,51.05,65.47,48.01
e288129b,74.4,49.74,48.43
b10bf60f,60.2,146.5,19.25
6ca40eed,22.9,135.1,33.07
6c19eb9a,76.23,22.52,43.09
6d1114fe,72.9,32.12,29.4
a7427947,94.19,97.48,15.62
dddf53d5,26.94,61.72,39.56
ca0fe098,71.82,132.34,19.14
90e3d4fe,84.45,93.58,26.47
d0ad5f81,39.85,83.0,6.14
eecfda22,33.87,46.69,40.64
1b6caeca,13.54,61.17,40.89
14250e73,72.37,67.47,31.59
42a79e33,79.4,103.84,21.33
fc6a373f,94.0,126.16,11.42
933093d9,79.58,115.88,16.45
4f8e75c5,69.17,113.47,29.54
c3929ab3,83.94,65.49,39.5
ccfc6335,19.26,35.89,47.55
de621324,54.4,60.29,27.1
e422871c,85.26,125.7,43.05
4b7c75db,27.87,52.24,17.5
21d99116,69.04,76.76,22.5
446a1a37,69.92,126.09,18.95
ef9cd423,71.29,77.31,11.64
dfd845e6,11.11,102.52,32.65
96064251,94.05,124.89,22.57
6f57de69,46.73,101.44,14.68
5ab0880e,35.94,142.56,37.02
a91abb0b,71.07,31.31,10.11
f6cadda3,36.74,98.24,5.81
b49ab169,63.11,146.51,36.16
ee544d8b,12.26,122.02,20.2
20e1029c,25.99,123.82,34.49
e1b2254c,35.7,91.85,21.1
886d38bf,78.95,129.53,10.23
0d6813c1,82.99,108.11,44.76
a5393c40,39.0,22.0,9.52
25d0ca1d,29.76,89.49,7.39
ed3701df,69.99,70.26,8.57
a0276f75,55.89,140.41,20.89
20428630,55.75,60.62,26.35
c8c6cbe4,40.09,37.37,42.39
eb9c746e,50.39,122.65,16.79
04f67b30,52.62,29.59,27.02
2687f7a0,89.86,30.57,38.81
073a6391,69.8,49.63,37.85
1599b30c,32.19,56.54,28.86
f8e9d853,71.11,105.85,33.89
d0362a78,19.18,124.14,16.45
af7678bd,80.96,74.28,5.35
98d7c163,77.4,21.59,7.81
fd8fbed7,52.33,126.3,40.0
50a5dc5e,19.66,140.89,17.36
ac754de7,88.04,135.94,22.68
5c93f3d9,96.73,54.54,45.81
7e5fc2d7,31.59,116.83,8.81
fee650fe,58.86,131.83,46.28
d8d03d6e,93.32,52.29,18.83
1c68a5fe,30.51,148.14,21.48
b6ac79bb,72.84,64.56,42.93
484b5259,11.98,46.33,16.42
ffc82a0e,12.37,73.17,15.81
6ee73609,95.84,37.99,27.99
46e34710,57.23,25.55,34.92
757cbe17,29.98,115.12,27.09
50aa8c3a,70.45,128.1,48.91
0f7cb0e7,33.92,125.66,14.0
a588a9cd,30.66,145.72,45.97
a67d79dc,67.42,134.35,34.54
10ff3b72,35.9,117.69,18.81
09579c7e,20.91,100.7,48.68
587b7277,34.53,68.94,39.19
a99a1efb,82.09,148.28,44.95
55d9fdee,35.94,111.73,9.24
caa5e17a,24.51,124.7,11.04
7e08ee56,21.8,137.94,6.48
9f6442e6,23.63,22.49,45.72
1d8367e5,66.41,108.12,28.21
148ab50d,96.44,75.88,37.63
cb89f34f,83.02,106.48,49.58
fafe46b7,69.72,39.85,31.42
9f74eaf4,87.38,124.23,6.98
29571554,69.68,55.25,9.05
06a877bf,36.02,49.71,12.64
96d07f3f,41.02,126.12,12.28
fec1c3a8,64.83,38.1,20.94
2963e064,88.23,85.53,35.56
9a83cb0d,47.2,54.74,12.33
44036904,94.39,42.19,48.29
ebe8ceba,72.37,148.41,5.64
fe235110,25.1,81.84,48.28
1d5a5faf,50.95,122.15,12.9
f08edf11,39.19,50.14,47.61
1b39bfd8,14.03,88.39,39.29
e8f2e071,75.98,86.29,32.64
b1f15d0d,67.76,108.2,33.13
7c90d599,15.69,45.68,5.82
89af2748,52.73,97.0,11.2
63692749,60.13,53.77,25.06
653aa1ea,23.78,146.96,7.06
91de22b9,83.23,92.05,39.89
3e0fd0a9,88.41,75.48,34.68
b381aeb3,50.08,126.84,18.65
29e4242a,79.78,107.06,34.48
626471f6,84.71,84.02,11.83
7329e733,93.61,90.71,29.39
c184e0b5,24.08,124.85,44.39
c1145e97,74.45,98.33,20.17
f758d421,89.09,53.63,39.65
244924dc,28.63,21.77,19.16
55d56d0f,20.66,23.76,17.8
47a2f0a6,22.37,71.07,15.93
fcd71533,45.97,26.09,12.19
6b0883ba,48.8,83.78,16.26
c4c50f60,67.59,71.28,37.38
71ab4a21,23.44,71.15,12.77
f5ffb31a,61.32,136.06,7.89
5fbbf70e,55.22,140.9,24.55
12169f33,51.01,97.59,10.06
72662186,43.17,49.26,40.97
ccf6844d,69.48,35.17,40.94
aba7524d,54.41,67.3,14.08
216be38b,26.29,106.13,16.89
f2437ed0,67.44,88.7,8.79
0ddab727,76.03,31.88,34.09
f70478f5,64.82,95.6,35.93
4264a2fa,28.13,89.37,8.38
ce83d3ee,49.97,27.37,34.98
031b4294,25.96,22.41,31.07
87ed3cd9,76.58,69.27,18.86
7636474b,93.24,59.23,13.13
602449a8,52.66,102.58,34.87
eae3f64e,49.57,29.06,44.58
d0772306,38.31,126.01,40.24
7dc56c1f,13.38,121.58,30.67
a81cf54d,75.56,49.88,16.27
1cf7f247,19.7,53.81,40.49
4382ae57,41.76,144.24,10.3
cda4a48d,94.29,93.74,22.62
ee6e8d18,42.9,120.51,47.45
87299a0f,44.57,26.64,42.65
f9425b9b,49.73,36.44,10.83
f6c4803b,23.59,33.7,14.51
0f6d54e0,42.85,80.38,48.41
103a98a0,91.93,40.99,36.72
718e8b8e,94.12,52.82,25.27
4bd47d4c,22.65,103.97,28.25
437829f6,20.1,31.01,20.52
6191b38e,14.1,33.21,16.04
cc1c3f09,22.93,85.14,46.61
936b7d24,25.4,145.27,40.02
fe684b3e,65.14,27.43,25.13
f2b50c78,78.82,128.65,30.1
80db78ac,32.44,89.46,33.49
6a0e4508,23.47,100.94,43.55
70b8439e,21.93,47.29,13.78
0b93f2ad,72.46,105.08,45.44
f3e005fd,97.93,147.74,48.41
d55ac7da,27.19,96.39,32.72
c83e350b,78.92,35.63,16.04
72286328,59.13,143.78,15.1
267013e1,57.21,59.7,39.73
27a1d7fe,51.2,75.07,23.74
d6fabed2,76.43,110.68,28.87
07a85703,65.87,86.56,9.02
3aa188f3,55.22,22.5,44.66
a7d65f94,38.42,103.36,18.67
8f10b1ca,88.87,40.48,22.12
5fafeae8,36.57,59.07,8.53
e0954b9e,26.1,28.34,13.65
fba10c7e,75.7,27.63,25.15
305bd0c9,29.04,63.37,35.92
21ff2bcd,63.78,77.91,44.26
0b8d267b,77.06,35.03,12.05
58079353,39.51,126.81,38.04
30470983,24.26,56.82,45.98
3f79112e,46.99,113.0,8.54
fddafce6,83.11,129.74,36.49
2c52e7f4,69.28,105.93,33.97
1cc78c42,17.39,25.93,41.62
fb533100,71.45,138.09,21.55
757b1479,45.08,139.42,48.69
397b90d1,91.8,147.88,9.65
a18d88ae,49.82,88.92,32.24
6a969487,99.92,113.74,20.63
69e5d9f3,90.23,80.08,24.3
24d2fbac,25.61,85.86,16.61
8ca067fe,27.8,57.01,48.36
40ca48f2,50.18,58.26,20.54
de905ea7,47.26,80.87,44.44
69f4bd2c,87.61,39.29,38.52
7ea42bcd,65.73,94.32,35.27
bb02dcc7,93.76,66.48,45.19
2383030f,97.82,54.6,5.03
a88bad4f,81.2,105.88,43.33
40a98709,77.63,129.61,10.06
46aeea4d,13.41,33.13,6.91
7aafd555,59.71,32.53,39.22
981f33ca,88.67,51.77,41.94
70a72e07,98.08,32.69,47.28
f5358baa,56.62,62.9,26.15
743a4b57,92.72,49.9,12.7
3396b304,84.35,36.29,13.34
36acd7e6,49.86,108.02,33.53
64101f0e,91.25,98.41,33.3
5bb7234f,14.02,98.88,48.96
e15cfb9d,22.01,66.34,34.59
ba121552,77.49,43.34,10.02
17e7445f,54.11,146.74,38.66
f249eba3,82.7,96.21,10.16
e6562aa5,90.69,140.06,36.34
be41d949,31.09,25.17,34.06
6788e7c5,62.81,120.73,11.93
98ca1687,97.41,124.98,16.34
b65ad689,23.34,112.75,42.64
920f0402,46.19,52.56,43.68
44c5833a,93.79,27.95,45.11
e881f4b2,50.85,148.14,18.09
b57b86cd,28.26,98.86,45.56
be1b1261,50.09,137.1,12.8
77ed02c9,65.7,40.69,35.96
e5f21735,21.92,42.3,22.11
27294568,79.97,33.67,15.48
8ffe5157,62.4,72.72,23.19
c5ee8821,73.36,118.79,33.96
0e0f81b1,51.09,80.1,23.99
c10446d7,34.34,149.91,39.16
3d7c0185,59.53,80.33,48.7
a1502a66,76.9,127.27,14.17
8bf1ebc6,20.19,57.64,42.82
f950e054,75.23,140.6,48.01
07ace515,94.61,54.0,19.78
8aa98b18,89.77,123.5,47.59
9912da2c,42.83,146.1,22.1
322ff2ee,78.1,61.52,9.21
ba86f81d,33.37,27.26,22.79
de3fad4b,88.9,92.21,48.87
58cb6ebe,68.94,30.94,16.97
6d98a950,63.43,61.23,43.19
d1f92faa,98.92,25.13,28.49
ca48f8a4,97.47,85.7,17.08
8ec54800,99.93,113.68,47.68
4d7c5cbb,46.7,104.45,9.64
0f716dca,76.24,49.94,43.33
19c246f0,79.11,146.62,16.77
5906cff7,67.06,42.84,9.63
3c331d66,18.23,80.65,41.06
99f0e5ed,83.67,130.8,36.55
b8d1f2ac,61.63,149.12,36.48
df1ac0ba,36.48,65.1,49.38
25c3fadf,75.21,149.22,29.61
d018e24b,31.97,121.43,18.11
8e22f9cc,94.34,33.31,45.86
fb054a21,91.91,149.83,49.38
1a8f4357,64.31,31.0,6.4
106d10d1,54.96,55.61,17.62
2bac3c49,93.25,136.69,18.24
9744c18a,59.17,75.38,23.34
9d9891e5,74.24,130.5,32.02
c82112f4,91.43,76.84,10.28
33f087a1,48.96,135.04,36.26
067a7748,28.72,95.4,43.99
cf46ceb2,86.78,76.97,12.08
7f1181bc,80.87,28.05,33.71
5be82a85,82.47,74.19,36.65
b74aa328,90.9,130.24,14.59
0aa57590,56.58,82.25,42.59
bfcf9087,67.29,75.28,18.84
136529d3,11.78,147.44,16.26
6a514a6e,33.96,88.93,42.83
7a656010,84.33,135.62,39.32
6503feea,56.35,69.82,21.32
67c289f2,15.39,113.01,17.86
ca6e6d43,19.61,50.02,12.69
0497ab3d,99.71,36.76,10.55
9dbb9e04,55.73,28.51,36.27
78a7a5d8,96.77,92.47,35.57
3a5261ce,62.0,51.61,9.06
d1526eb0,87.38,85.99,5.83
088aa804,48.91,114.18,20.88
3d45ce86,17.76,110.52,27.56
dfca0121,29.38,93.56,35.18
a2101fee,35.73,22.43,37.2
09a607a4,33.68,84.28,30.35
1a4b258c,64.15,42.05,12.32
bbc59bbf,92.43,46.8,36.31
c839e0f8,42.49,34.97,14.66
b0d3232b,27.12,85.04,49.88
23585217,36.4,38.18,42.32
1dc12fbb,45.09,80.82,10.57
9bc48863,56.0,43.98,18.73
8a64cf44,35.94,43.32,37.02
4e332aa8,18.79,95.46,27.12
6634181f,11.82,59.05,36.43
ec0090f5,78.91,138.61,41.86
4a58d9ef,68.22,58.73,38.7
30ca71a4,66.98,35.54,33.99
08942962,11.97,55.31,23.93
ca3f14ee,98.05,134.75,35.55
0b0d5368,89.98,23.34,37.06
9a764553,81.87,40.85,10.17
48ca52d1,64.95,57.4,17.06
79d89b2c,69.61,122.25,27.6
6b141963,97.3,113.63,19.55
0993d17c,36.0,116.43,27.25
3e55c83a,57.26,45.47,25.13
dc8423c5,44.64,83.11,20.44
d09fd745,83.42,66.89,25.71
03197d34,58.13,76.25,29.07
255ba6cd,71.86,23.51,38.85
e78cdefc,19.21,40.14,22.07
f87db247,20.02,101.09,41.38
994080f6,70.44,30.52,47.7
0b39add0,77.47,34.14,38.97
f6405e7a,81.25,50.77,32.54
a6a1f903,19.59,90.23,41.16
6961c8d0,61.68,22.14,34.27
fdd17350,93.45,22.9,8.75
759feb0d,38.43,117.45,48.44
9dfdbf4c,59.87,113.3,39.12
ec3f0423,99.91,136.06,23.84
3de015e9,61.36,123.51,28.86
78ddab42,80.45,123.01,40.99
991de200,76.86,31.12,19.24
155920ba,32.34,47.18,5.57
07c49ff7,69.61,35.89,38.34
e9209b43,66.07,34.36,6.84
0378f79f,83.64,23.07,21.69
7aa7ff7d,45.12,99.86,5.85
ec5d1903,70.3,149.77,23.2
2e578448,46.14,81.56,36.88
ba6c9882,24.68,99.35,36.34
add84a83,57.73,90.72,42.13
49d233f1,32.73,30.4,17.88
5ce1abaa,32.81,136.32,42.1
621b3c33,36.1,111.45,23.52
08f1121b,74.25,118.46,39.26
be76c1f8,68.27,120.21,9.74
c47e396c,53.57,48.02,22.1
cf4b24f1,35.16,42.99,31.74
1f58ea0d,89.11,73.11,14.47
51f60377,66.5,115.6,5.12
434b0b97,61.74,82.04,9.42
208c87eb,14.68,71.32,46.18
abdb3a32,69.14,114.86,8.81
2c90a97c,89.3,69.9,5.79
9808117b,15.31,140.79,48.11
a0bb244f,51.78,123.11,40.99
84fb2295,61.93,95.96,49.61
c8afff57,98.79,36.42,27.34
81272393,42.26,98.98,11.41
a5df557a,42.85,72.72,42.18
978ce38c,15.68,82.72,38.39
e1476fbe,20.2,142.65,38.11
4f8b08a7,40.89,142.14,41.71
a2e888bb,67.59,60.46,49.87
14b639f6,78.61,120.81,48.48
907bee80,34.06,113.03,26.5
1e32cf84,11.92,27.88,42.23
9c03a689,81.14,88.54,46.96
4a784589,72.28,97.91,48.68
2d1d27c5,91.52,52.96,19.32
b5fb556f,19.74,50.56,17.15
9fd01638,98.64,80.42,25.22
ff91e72b,11.63,108.91,10.32
f4fea0e4,64.04,27.21,37.15
df6aba7f,43.96,35.5,33.68
861c809f,48.0,93.35,31.7
a0fdda71,29.72,124.18,41.62
36d7454c,41.1,61.87,47.44
dfef3b81,95.0,67.91,9.32
3079ad50,40.96,20.53,6.09
b047c1fe,13.15,75.06,34.59
922f757c,19.23,65.95,48.08
5d09a43e,73.24,94.59,36.48
1ac40f57,58.47,71.52,16.66
3a47c4b9,33.79,99.35,19.26
c1d53b73,17.02,90.87,28.1
d6e8c59c,94.67,91.56,15.26
ce6ab8f9,30.68,71.76,36.75
a54b3c7a,50.59,80.33,25.34
2ee38841,79.33,55.87,25.14
b4292839,58.07,145.27,46.29
58d8aea6,63.71,111.03,37.67
4246554c,60.29,91.59,39.01
1c02b70f,90.19,73.06,24.03
aee2c210,69.83,80.0,7.12
879f866a,10.32,147.79,50.0
1c80315a,15.0,20.68,14.08
51609834,48.64,90.24,45.35
a096067c,66.09,134.48,43.97
39f3dac4,76.14,51.12,5.24
ab4cead9,59.42,80.19,11.75
c885d19c,17.29,116.4,35.33
b4386ddc,19.44,54.06,40.1
64305837,28.12,92.43,38.18
4292ae8c,67.47,82.96,6.85
4952c180,55.73,111.43,44.68
6d2f3392,79.58,94.79,27.15
4567e39b,60.73,119.44,39.89
367083dc,10.89,27.37,24.42
694e3fcc,78.17,115.77,38.2
c335a8b9,38.18,37.64,26.24
91eb235e,63.98,72.91,31.1
4b19eda3,15.13,86.83,41.91
462fd7b4,63.86,62.97,48.27
d9b2102d,43.33,144.48,46.01
a0dabb4f,39.55,37.62,32.88
581b5052,67.05,126.93,47.03
5f7e0ffd,74.04,64.25,45.9
ceed01a5,90.74,23.09,16.19
55e5b71b,50.74,27.09,7.45
c80b290d,59.94,30.72,42.51
aa472163,19.83,141.55,29.73
d866fe35,24.66,94.14,43.35
e5572b1d,40.71,50.44,17.06
c24e95b8,18.93,59.7,34.04
ef5bf9ba,60.23,42.91,36.77
9b263cfa,96.45,44.23,49.76
500f42a3,16.02,98.27,29.75
dbf3b9f9,26.16,88.99,21.53
999286f8,21.95,72.48,43.13
c3d71efb,10.14,129.13,10.24
703ed4c7,82.55,105.36,36.01
26b6c08d,21.97,71.76,39.17
48cf1acf,41.57,55.19,28.6
5187a185,73.72,108.84,22.88
2100a573,83.81,149.12,44.29
6889afb6,95.81,38.87,10.77
82a985d0,70.45,62.1,10.4
41343bb9,16.76,42.33,6.34
c30b2a2c,39.48,89.31,36.36
54a19f6a,61.88,100.99,12.58
4930e8cf,84.08,78.54,39.98
ff314f1b,36.0,22.41,46.54
0aaac329,88.58,64.8,41.26
faf13b2f,47.31,71.58,43.19
8a536e59,21.02,83.58,48.27
6ab14bbc,30.74,80.52,23.0
13e04ab0,80.08,50.06,40.76
fec8e245,21.15,130.2,47.73
9a78c5b4,90.26,65.42,36.23
bbf18e44,38.65,61.71,30.12
0839a612,57.71,141.1,37.27
49364b4a,12.99,82.55,7.68
0ee29f13,36.72,102.91,8.92
8618ff4e,52.67,71.8,12.78
94fae429,23.15,128.87,32.87
e17f8259,98.36,62.32,34.41
26869d65,77.16,84.49,25.15
d1bc8698,78.52,83.84,36.37
d69e1a32,32.41,78.71,33.22
9c9ff3a3,24.2,37.27,23.83
23c03b8a,32.51,99.07,17.48
17257736,19.32,71.19,45.42
b38d8bfb,87.53,22.62,19.05
99feec1e,25.56,31.59,45.88
2349ea47,27.72,39.49,26.21
6c7c9936,63.36,85.97,43.93
0f7bfa42,53.67,91.31,10.31
727e26a0,98.12,149.44,25.17
44d17a65,84.61,43.23,40.14
f778c3d2,35.68,95.34,26.53
bdd66b95,20.73,49.58,12.41
24056d08,58.25,74.71,30.92
945a9721,74.01,29.77,7.03
fa02064e,93.41,110.32,5.7
6274de57,53.92,92.87,29.72
a3d46006,44.78,149.21,27.47
d28c3573,33.41,46.43,30.57
1e783dc8,93.59,72.64,22.59
d2590029,57.24,60.63,40.13
1d8f1f61,62.63,107.16,15.21
06e465d7,61.52,42.97,36.79
a2223677,67.85,121.86,36.87
c20739a8,36.71,45.67,31.4
0b3bb513,32.22,109.01,46.47
c01b4b60,64.11,82.07,35.09
6b32f8bb,93.58,124.38,19.71
8a68c54a,88.35,107.31,30.25
2e1516e2,90.8,122.14,7.67
7a0289b5,85.4,88.66,39.76
a592634e,52.53,74.64,34.86
